Club Name,Description
180 Degrees Consulting,Pro bono consulting projects for nonprofits and social enterprises
3484 Magazine,"Student-run magazine covering culture, arts, and current events"
3D Audio Lab at GT,"Exploring audio tech, wearables, and 3D printing"
5 Rivers Fishing Club,Fly fishing community with trips and instruction
A Cappella,Student vocal performance groups
A-Town Showdown,Hosts Indian dance competitions
Aarohi,Indian classical music and arts
ABLE Alliance,Community-building and career support organization
Academic Quizbowl Team,Competitive trivia team
Accessible Prosthetics Initiative,Expands access to affordable prosthetics
Acoustical Society of America,Acoustics education and research outreach
Aero Makers at GT,Hands-on aerospace projects and mentoring
AeroAfroAstro,Professional support for Black students in aerospace
Aerospace Design-Build-Fly Club,Designs and flies RC aircraft competitively
African American Student Union,"Cultural, social, and advocacy organization"
African Graduate Students Connect,Network for African graduate students
African Student Association,Celebrates African cultures
AfroDance Team,African dance performance team
Agora,Christian thought journal and forum
AI Safety Initiative at GT,Research and discussion on safe AI development
AI@GT,Artificial intelligence education and projects
AIESEC,International leadership and exchange programs
Airsoft Club,Recreational and competitive airsoft
Amateur Radio Club,Hands-on radio communication and licensing
American Cancer Society @ GT,Cancer awareness and fundraising
American Concrete Institute,Concrete industry education
American Institute of Aeronautics & Astronautics,Aerospace professional development
American Institute of Architecture Students,Architecture networking and advocacy
American Medical Student Association,Pre-health mentorship and advocacy
American Nuclear Society,Nuclear engineering education
American Red Cross Club,Disaster relief and blood drives
American Sign Language Club,Learning ASL and Deaf culture
American Society of Civil Engineers,Civil engineering professional org
American Society of Mechanical Engineers,Mechanical engineering professional org
Animation Club,Animation practice and workshops
Anime O-Tekku,Anime viewing and community
Anti Brainrot Club,Reducing doomscrolling and digital overuse
Arab Student Organization,Arab culture and community
Armwrestling @ GT,Training and competition
Art4Smiles,Art outreach for underserved communities
Asha for Education,Fundraising for education in India
Asian American Student Association,Asian American culture and advocacy
Astronomy Club,Stargazing and astronomy education
ATL Tanishq,Women’s Bollywood fusion dance
Audio Engineering Society @ GT,Audio production education
Badminton Club,Recreational and competitive badminton
Ballroom Dance Club,Social and competitive ballroom dance
Band Club,Supports GT band programs
Bangladesh Student Association,Bangladeshi culture and community
Barbell Club,Strength training community
Beach Volleyball Club,Competitive club volleyball
Beekeeping,Beekeeping education and hive care
Bhangra,Competitive Punjabi dance team
Big Data Big Impact,Data science for social good
Board Game Club,Casual and competitive board games
Boxing Club,Training and competition
Brazilian Jiu Jitsu at GT,Martial arts training
Calisthenics at GT,Bodyweight and gymnastics training
Campus Cats,Caring for feral cats on campus
Chess Club,Casual and tournament chess
Climbing Club,Indoor and outdoor climbing
Club Math,Social math problem-solving
Club Tennis,Competitive collegiate tennis
Coffee Club @ GT,Coffee tasting and brewing
Consult Your Community,Pro bono consulting for small businesses
Cricket Club,Recreational and competitive cricket
Cubing Club @ GT,Rubik’s Cube and puzzle solving
Dance Company,Multi-style dance performances
DanceTech,Student dance showcases
Data Science at GT,Data science projects and bootcamps
Debate Team,Competitive policy and parliamentary debate
Dungeons & Dragons Club,Tabletop role-playing games
Economics Club,Economic discussions and events
Engineers Without Borders,Engineering solutions for global communities
Entrepreneurship Club,Startup ideation and growth
Esports,Casual and competitive gaming
Figure Skating Club,Recreational and competitive skating
Film / Buzz Studios,Student filmmaking
Flash Mob @ GT,Pop-up dance performances
Girls Who Code,Coding outreach for young students
GreyHat,Cybersecurity education and competitions
GT Motorsports,Formula-style race car engineering
Hacky Sack at GT,Freestyle footbag play
HexLabs,Hackathons and CS education
Hillel,Jewish student life
Ice Hockey Club,Competitive collegiate hockey
India Club at GT,Indian culture and events
Invention Studio,Student-run makerspace
iOS Club @ GT,Apple app development
Juggling Club,Skill-based juggling
Kendo Club,Japanese sword martial art
Magic: The Gathering Club,Card game play
Meditation Club,Guided meditation and mindfulness
Mock Trial,Competitive legal simulations
Motorcycle Club,Riding safety and community
Origami Club,Paper folding art and engineering
Outdoor Recreation,Adventure trips and outdoor skills
Period Project @ GT,Menstrual equity advocacy
Robotics / Marine Robotics,Autonomous vehicle development
Ramblin' Raas,Competitive garba-raas dance team and national champions
Ramblin' Reck Club,Preserves GT traditions and cares for the Ramblin’ Reck
Ramblin' Rocket Club,Competitive rocketry and high-altitude projects
Ramblin' Roundnet,Recreational and competitive Spikeball
Real Estate at Georgia Tech,"Real estate education, networking, and site tours"
Reformed University Fellowship,Christian fellowship and discussion community
Regeneration Club at GT,Hands-on ecological and social regeneration projects
Remote Area Medical at GT,Mobile clinics providing free medical services
Rescue Paws USA,Animal rescue advocacy and volunteering
Research Insights Club,Guidance on navigating academic research
Residence Hall Association,Student leadership and programming for on-campus housing
Rise and Run,Inclusive running community for neurodiverse students
RoboGrads,Robotics community for graduate students
RoboJackets,Competitive robotics teams and outreach
RoboRambler,RoboMaster competition robotics team
Robotics Outreach Club,Mentoring and volunteering with robotics teams
Roller Hockey,Recreational and intercollegiate roller hockey
Romanian Student Association,Romanian culture and social community
Rooted Christian Fellowship,"Christian speakers, discussion, and community"
RotorJackets,"FPV drone flying, racing, and training"
Rowing Club,Competitive and recreational rowing
Runnin' Wreck,Social and competitive running club
Russian Speaking Association,Russian language and culture community
Sai Young Adults,Interfaith spiritual discussion group
Sailing Club,Recreational and competitive sailing
Salsa Club,"Latin dance classes, socials, and performances"
Samulnori Club,Korean traditional percussion ensemble
Satrangi,Competitive all-women Bollywood fusion dance team
Saudi Student Association,Saudi culture and student community
Scheller Marketing Association,Marketing skills and professional development
Scheller Pride,LGBTQIA+ graduate community at Scheller
Scholars of Finance,Finance leadership and ethics organization
Science & Technology Policy Connections,Student-driven science and tech policy work
Science Olympiad,Volunteering and tournament support
Seek Discomfort Club,Personal growth through challenges and service
Sending Smiles,Letters of encouragement for cancer patients
Seoulstice,K-Pop dance performance team
Seven Generations,"Indigenous culture, advocacy, and education"
Sewa at GT,Service projects rooted in selfless service
Sewing & Quilting Club @ Tech,"Sewing, embroidery, and fiber arts"
Shop With a Jacket,Holiday gift shopping with underserved students
Sikh Students of Atlanta,"Sikh culture, service, and intercollegiate community"
SiliconJackets,Silicon hardware design education
Singapore Society,Singaporean culture and social events
Skateboarding Club,Group skating and skill development
Ski & Snowboard Club,Recreational and competitive winter sports
SKY Campus Happiness,"Mental health, mindfulness, and resilience"
Smash Jackets,Super Smash Bros. competitive and casual play
SMILE,Campus positivity and encouragement initiatives
Society of Asian Scientists & Engineers,Professional development for Asian STEM students
Society of Furries,Social and creative furry fandom community
Society of Hispanic Professional Engineers,Hispanic culture and engineering career support
Society of Physics Students,Physics community and outreach
Society of Plastics Engineers,Polymer science and engineering networking
Society of Women Engineers,Support and advocacy for women in engineering
Society of Women in Business,Women’s professional development in business
Society of Women in Physics,Supporting women in physics
Solar Decathlon,Sustainable building design competition
Solar Racing,Design and race solar-powered vehicles
SOON Movement,Interdenominational Christian ministry
Spanish Speaking Organization,Spanish language practice and Latin culture
SPARK Together,Compassionate leadership and service
Special Pops at GT,Tennis instruction for neurodiverse populations
Sport Parachute Club,Skydiving training and competition
Sports Business Club,Careers and networking in sports industry
Squash Club @ GT,Recreational squash
Stand-Up Club at GT,Writing and performing stand-up comedy
Starter Bikes,Bike co-op and repair space
Startup Exchange,Startup building and founder community
Student Affiliates of ACS,Chemistry community and outreach
Student Cancer Coalition,Cancer awareness and advocacy
Student Construction Association,Construction industry education
Student Hospital Connections,Clinical exposure for pre-health students
Student Neuroscience Association,Neuroscience education and outreach
Student Organization for Latinos in Computing,Support for Latinos in tech
Student Polymer Network,Polymer science networking
Student Veterans Association,Resources and community for veterans
Students for Life,Pro-life advocacy organization
StORM Club,Meteorology education and community
Students Organizing for Sustainability,Sustainability activism and community garden
Students Providing Aid,First-aid kit preparation for developing regions
Students Supporting Israel,Education on Israeli culture and history
Supercomputing @ GT,High-performance computing education
Supersonics Club at GT,High-speed aircraft design
Supply Chain & Logistics Organization,Supply chain education and networking
"Support, Health, & Education for Women",Women’s health service and education
Survivor Club at GT,Reality-show-style competitive game
Swifties at GT,Taylor Swift fan community
Swim Club,Competitive and recreational swimming
Swing Dance Social Community,Swing dance lessons and socials
SynapseX,Brain-computer interface development
Taal Tadka,South Asian fusion a cappella
Table Tennis Association,Recreational and competitive table tennis
Tae Kwon Do,Martial arts training
Taiwanese Student Association,Taiwanese culture and community
Tamil Sangam,Tamil language and culture organization
Tango Dance at GT,Argentine tango lessons and socials
TEAM Buzz,Community service coordination
Tech Pottery,Pottery and ceramics community
Technology Consulting Group @ GT,Tech-business consulting projects
Teddy Bear Hospital,Reducing medical anxiety in children
TEDxGeorgiaTech,Student-run TEDx conference
Tekstyles,Hip-hop dance community
Thai Student Association,Thai culture and student support
The After Dark Project,Humanistic medicine and reflection
The Diabetes Link,Support for students with Type 1 diabetes
The Helping Hive,Free virtual academic tutoring
The Leukemia & Lymphoma Society @ GT,Cancer research fundraising
The Living Room,Christian fellowship and weekly dinners
The Navigators,Nondenominational Christian ministry
The Neurodiversity Initiative,Advocacy and support for neurodiverse families
The Nourish Project,Elder care and social connection
The Oasis,Christian outreach community
The Technique,Student-run campus newspaper
The Tower Research Journal,Undergraduate research publication
The Wesley Foundation,Methodist campus ministry
The Women's Network,Professional growth and networking for women
Theme Park Engineering & Design Club,Theme park design and industry exposure
Thomistic Institute @ GT,Philosophy and theology discussions
Tikkun Olam Makers,Assistive technology projects
Trading at Georgia Tech,Quantitative finance education
Trailblazers,Outdoor service and recreation
Transfer Student Association,Support for transfer students
Treble Choir,Treble-voice choral ensemble
Triathlon Club,Competitive triathlon training
Turkish Student Organization,Turkish culture and community